comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,db37d654a28f078deb35a5392bcf879bf3fb2afd95d1d198b2ba1818d4d15305,repair,3.1376476,entropy,32,80,8,10,640
,ed148fb73fd714a3ee5bf436c7c47be3233bd8406acc12787cfa23dd77d3f150,repair,3.123268,entropy,32,80,8,10,640
,3c2e6d285f8f1f7bcf212b73854e7058197b65b2a76633cbae8a1c110d92e89c,repair,3.4329271,entropy,32,80,8,10,640
,dbcaa793bd63fad416c8315c2a55b1664f0c8df68d40f3a68284c3f8afb0776d,repair,2.636438,entropy,32,80,8,10,640
,b888c974590117b339ad648e927a660e93d21352b80882e78a2dd9e7bcedae37,repair,3.099617,entropy,32,80,8,10,640
,6ea0887b74dff01d876c3009451b8f616294068a8658f25b74157c44d961c201,repair,3.1851225,entropy,32,80,8,10,640
,38e584a383c370829bf544e1786f5b613e354cfca18db05151a715d2ceb9da10,repair,3.4738088,entropy,32,80,8,10,640
,ec22c0644bcb6e867fdd690e40ea01c850a9d7379a98ddfef73e7c6cfb9fce84,repair,3.224613,entropy,32,80,8,10,640
,3b4a5dbbd7b8f7153d4ed53f6d1f9cf779b21e73eceb216c90f52c5f678e70e0,repair,3.2861037,entropy,32,80,8,10,640
,684706c5cc556c3585a0ce4fcf69c153f4a9172b0a70ba4031c10318554e7ef9,repair,2.7264433,entropy,32,80,8,10,640
,9d88c65e3029d1b006c9a32d0e65e4d97b282dcc0544084de60e8daa8aabf444,repair,4.0096197,entropy,32,80,8,10,640
,a7a346c5f20435599dc55de34ffc9ee72e0170262b2505ea1234c62a828dbbca,repair,2.9056044,entropy,32,80,8,10,640
,56972070fc0adda1c6e448ecbdb15967dad5dc46b0efd7d9043a205bfdb6f241,repair,3.1238444,entropy,32,80,8,10,640
,cfe5bcbf1677b6cb579c4af3dba4761929b85bcc37baca6b855fd0cfd67856b1,repair,3.1902437,entropy,32,80,8,10,640
,a2d89bf5fd299b0a6c10b4e86e5f9584f16603dc1c8682c09ceab4862af9ff1b,repair,3.2403934,entropy,32,80,8,10,640
,5dc8ce23ce89002d5f8a582c740bd96ff92802a05b218ade26005339003f1f1b,repair,3.6724005,entropy,32,80,8,10,640
,67903cd726371cd8d72cd1d2344b93371559639e8228ef9e26002605e975b034,repair,3.365823,entropy,32,80,8,10,640
,cef24cfc991aff0acc2466ab96665e6f4ba8a722049d3021a5d850eebe144716,repair,2.750109,entropy,32,80,8,10,640
,cefee5c4514ea0e09a944c089648a11b6afe924b617d754a069d88c96e99f205,repair,3.2659764,entropy,32,80,8,10,640
,6d5df104d512166670cb3851b81176592dd3022d586e47212d06536dfcbff147,repair,2.9333563,entropy,32,80,8,10,640
,51c17325d207968f6fa391b8c354d6ee5ef8c9b9b9f60753ae46b01a98898df3,repair,3.152831,entropy,32,80,8,10,640
,7c7f8e7cea32f49c3e1da6cfb6ff2946de7e3bf10a022d2d59d9169a3b1275f9,repair,2.693912,entropy,32,80,8,10,640
,332f316312118e6ff4063bab24dff82474ba46704ab6705b313ca6207d26fad5,repair,3.4554884,entropy,32,80,8,10,640
,d392aaa875e1d8ac8af5a5b5cdf5d2eb0eddc7e6bc1b5b73148eb4e01efafaef,repair,3.3591712,entropy,32,80,8,10,640
,f1c3569a63cd95ca7a20cd30248683dce1003f55a7e30316c10d2f902f475afc,repair,3.2996712,entropy,32,80,8,10,640
,47a1105b145f2f8342616c0a853eadc2fb0979a22a8f227c094624167604f388,repair,3.569611,entropy,32,80,8,10,640
,acbc7f2e8c8f6ca6ce65b6df395fa5533f9c60a51d82b09a59913dfa949e243d,repair,2.6093328,entropy,32,80,8,10,640
,570dce145a6f9c2f5def4c066b6ca03375ef45bc9691709f568c521727d1f98e,repair,3.3681254,entropy,32,80,8,10,640
,9068505147662cde3bad7dd0bda9d2b32ae05e27c8fa3df63293d6b83fa51605,repair,3.8188581,entropy,32,80,8,10,640
,06f5212bcca84d8d6a7bb2255d2a136a76206fbb65ee7f1e5cbdf157de809e52,repair,3.015538,entropy,32,80,8,10,640
,75f4a0607c69dc24a2f26db63b2cd9ad6fbdca2cd37bf6e2b4da7efc42efed71,repair,3.512031,entropy,32,80,8,10,640
,253786faf89766d8b4b2f97e1fb16128ac85a2c8c522ba3266039adccfa77b18,repair,3.864607,entropy,32,80,8,10,640
,79b982436b0f31c10091be23ceaaddd43d2199b111b461fd353462634d2acf9b,repair,3.9612877,entropy,32,80,8,10,640
,e8e4fc6cedf00a2f47b62555f2ec4f2233803862991c316c99dcbed4bee9959d,repair,3.3396544,entropy,32,80,8,10,640
,c93003ff36c6029d19ff32968dd5be0a9f3e20d2d2978c033d6de5f09e220060,repair,3.2129662,entropy,32,80,8,10,640
,4dc019eee8326b632f5978002e6989a5dbafcb9624398ca98d25128113de1637,repair,3.6907408,entropy,32,80,8,10,640
,711798bb250e26a61c46fa5f8136f48be47da0278114583589616dcebcb6da98,repair,3.2037582,entropy,32,80,8,10,640
,a0ef2969f7f3cfab41e629072b561d89d041f07bd7edaeee5611e94a37a288a7,repair,3.1746783,entropy,32,80,8,10,640
,fc54c27f3455242ff0ffbc26642b9a62c22b6183f13177c94906000ef65ac111,repair,3.1313314,entropy,32,80,8,10,640
,53bbeed59250790832876985939b1ae0542daab66351ce8a4c212d629741e180,repair,2.9270735,entropy,32,80,8,10,640
,ff8d7b4b7d105e3100e294614052e1ead1c096f20a5e35b27135ea7b6fd33bd1,repair,2.784672,entropy,32,80,8,10,640
,964b6de97d98d706cf65e3fc57c42042d9399d6a6839095b51eca38e9e1a36e2,repair,3.5602334,entropy,32,80,8,10,640
,464dbb127ca337c5cdd4ffbe493fda013b0e6863b179c1e90b90d6eddea8f862,repair,2.8599846,entropy,32,80,8,10,640
